1,1,1.39
2,2,0.72
3,3,0.4
4,4,3.29
5,5,0.73
6,6,0.7
7,7,0.69
8,8,0.75
9,9,0.91
10,10,1.05
11,11,1.57
12,12,0.84
13,13,1.39
14,14,0.93
15,15,0.7
16,16,0.6
17,17,0.97
18,18,0.71
19,19,1.1
20,20,0.96
21,21,0.63
22,22,2.42
23,23,0.95
24,24,0.42
25,25,1.38
26,26,0.81
27,27,0.84
28,28,1.03
29,29,0.98
30,30,0.9
31,31,0.68
32,32,0.77
33,33,1.3
34,34,0.7
35,35,0.5
36,36,0.86
37,37,0.86
38,38,0.95
39,39,1.88
40,40,0.89
41,41,1.3
42,42,1.03
43,43,0.42
44,44,0.59
45,45,1.02
46,46,0.53
47,47,0.72
48,48,0.55
49,49,1.44
50,50,1.17
51,51,0.73
52,52,0.58
53,53,1.45
54,54,0.65
55,55,1.09
56,56,1.3
57,57,0.45
58,58,1.02
59,59,1.27
60,60,0.63
61,61,1.27
62,62,0.81
63,63,0.88
64,64,1.07
65,65,0.63
66,66,1.11
67,67,0.68
68,68,2.75
69,69,0.82
70,70,0.81
71,71,1.39
72,72,1.22
73,73,0.54
74,74,0.53
75,75,0.57
76,76,0.85
77,77,0.8
78,78,1.37
79,79,0.61
80,80,4.57
81,81,1.47
82,82,0.74
83,83,0.91
84,84,1.36
85,85,2.02
86,86,1.38
87,87,0.99
88,88,1.1
89,89,2.45
90,90,0.8
91,91,1.1
92,92,0.63
93,93,0.58
94,94,1.2
95,95,1.54
96,96,3.72
97,97,0.86
98,98,0.56
99,99,0.51
100,100,0.77
101,101,0.36
102,102,0.52
103,103,3.09
104,104,1.13
105,105,10.72
106,106,0.58
107,107,1.03
108,108,0.84
109,109,3.1
110,110,1.5
111,111,0.6
112,112,5.19
113,113,1.06
114,114,0.99
115,115,1.15
116,116,1.1
117,117,1.12
118,118,0.63
119,119,1.19
120,120,1.28
121,121,2.96
122,122,0.72
123,123,1.84
124,124,0.53
125,125,0.6
126,126,0.66
127,127,0.7
128,128,0.91
129,129,0.98
130,130,1.32
131,131,0.72
132,132,0.75
133,133,0.86
134,134,1.03
135,135,1.04
136,136,0.41
137,137,0.46
138,138,2.32
139,139,3.78
140,140,0.99
141,141,0.82
142,142,0.47
143,143,0.78
144,144,1.65
145,145,1.22
146,146,1.01
147,147,1.82
148,148,0.65
149,149,0.66
150,150,0.99
151,151,1.73
152,152,1.36
153,153,1.13
154,154,1.03
155,155,1.39
156,156,0.93
157,157,0.63
158,158,0.66
159,159,3.35
160,160,0.67
161,161,0.5
162,162,1.92
163,163,0.81
164,164,0.25
165,165,1.38
166,166,2.65
167,167,1.51
168,168,2.2
169,169,0.47
170,170,1.88
171,171,2.11
172,172,1.01
173,173,1.35
174,174,0.86
175,175,2.12
176,176,1.33
177,177,0.66
178,178,0.31
179,179,0.6
