61,74,7353, SA(rs)ab pec                                                                                         , SA(s)b: pec                                                                                          ,SA,SA
62,75,7327, IB(s)m                                                                                               , IB(s)m                                                                                               ,I,I
63,76,7359, SAB(r_s)c pec                                                                       , SAB(rs)c pec                                                                                         ,SAB,SAB
64,77,7377, SA(s)c                                                                                               , SA(r_s)c                                                                            ,SA,SA
65,78,7420, (R')SA:(s)cd sp                                                                            , SA(s)c sp                                                                                            ,SA,SA
66,79,7436, SB0^-                                                                                              , SAB0^-                                                                                             ,SB,SAB
67,80,7525," SA(s,nl)bc pec                                                                                       ", SA(s)bc pec                                                                                          ,SA,SA
68,81,7577, S0^- sp / E(d)8                                                                                    , S0^- sp / E(d)8                                                                                    ,S,S0
69,82,7614," SA(s,nl)cd                                                                                           ", S_AB(s)cd                                                                           ,SA,SAB
70,83,7674, SA(rs)ab                                                                                             , SA(rs)c                                                                                              ,SA,SA
71,84,7765, SA(rs)b                                                                                              , SA(r_s)bc                                                                           ,SA,SA
72,85,7825, SA(s)m pec                                                                                           , SAB(s)m                                                                                              ,SA,SAB
73,86,7967, (R_2')SB(_rs)b                                                            , SB(_rs)b                                                                            ,SB,SB
74,87,7977, SAB(rs)d: pec sp                                                                                     , S_AB(s)c: pec sp                                                                    ,SAB,SAB
75,88,8035, SAc                                                                                                  , SA(rs)c                                                                                              ,SA,SA
76,90,8198, SAB(rl)cd                                                                                            , SAB(rs)c                                                                                             ,SAB,SAB
77,91,8220," (L)SA(r'l,l)ab                                                                             "," (R'L)SA(rs,r'l)ab                                                                ",SA,SA
78,92,8265, S0^- sp / E(d)6                                                                                    , S0^- sp                                                                                            ,S,S0
79,94,8520, SA(s)c sp                                                                                            , SA(s)c sp                                                                                            ,SA,SA
80,95,8624, Sc sp                                                                                                , Sc spw                                                                                               ,S,S
81,96,8631, SAB(rs)bc                                                                                            , SAB(r_s)c                                                                           ,SAB,SAB
82,98,8968, (R')SB(s)m                                                                                 , (R')SB(s)dm                                                                                ,SB,SB
83,99,9024, E3-4                                                                                                 , E(b)4-5                                                                                              ,E,E
84,100,9128, S_AB(s)c                                                                            , SA(s)c                                                                                               ,SAB,SAB
85,101,9199, (R)SA(l)0^+                                                                                        , (RL)SA(l)0^+                                                                                       ,SA,SA
86,106,9405, SA(s)c                                                                                               , SA(s)c                                                                                               ,SA,SA
87,108,9554, SAB(s)dm sp                                                                                          , Sdm sp                                                                                               ,SAB,S
88,110,9858," (R)SA(rl,nl)0^+                                                                                    ", (R)SAB(rl)0^+                                                                                      ,SA,SAB
89,111,9884, E1-2                                                                                                 , SA(l)0^-                                                                                           ,E,SA
90,114,10014," (R)SA(r_l,nl)0^+                                                                  ", (R)S_AB(r'l)0^+                                                         ,SA,SAB
91,119,10631, SAB_a(s)dm                                                                                         , SB_a(s)c                                                                                           ,"SAB_(x,a)","SAB_(x,a)"
92,123,11972, (R')SB(r)b pec                                                                             , (R')SB(r)bc pec                                                                            ,SB,SB
93,124,12348, SAa sp                                                                                               , SA0/a sp                                                                                             ,SA,SA
94,128,13088, SA(_rs)0/a                                                                          , SA(r)0/a                                                                                             ,SA,SA
95,130,13279, SB_a(s)cd sp                                                                                       , SAB_a(s)cd                                                                                         ,"SAB_(x,a)","SAB_(x,a)"
96,132,13599, SB(rs)bc                                                                                             , SB(rs)bc pec                                                                                         ,SB,SB
97,135,14080, SB(_rs)bc                                                                           , SB(_rs)b                                                                            ,SB,SB
98,143,14651, SBdm pec (cc)                                                                                        , SA_B(s)dm                                                                           ,SB,SAB
99,144,14693, (R')SA(r)a sp pec                                                                          , (R')SA(r)b                                                                                 ,SA,SA
100,145,14800, Sa: sp pec                                                                                           , Sa sp / E6 pec                                                                                       ,SA,SA
101,146,14849, SB(s)d                                                                                               , SB(s)cd                                                                                              ,SB,SB
102,149,14979, SB(rs)ab                                                                                             , SB(rs)ab                                                                                             ,SB,SB
103,156,16861, SA_B(_rs)c pec                                                     , SA_B(rs)c                                                                           ,SAB,SAB
104,158,17309, SA(rs)b                                                                                              , SA(rs)b                                                                                              ,SA,SA
105,181,20567, SAB(rs)c pec                                                                                         , SA_B(rs)bc pec                                                                      ,SAB,SAB
106,186,20814, S_AB(rs)b:                                                                          , S_AB(s)a                                                                            ,SAB,SAB
107,187,20900, SAB(s)bc                                                                                             , SAB(s)bc                                                                                             ,SAB,SAB
108,189,21014, E2-3                                                                                                 , E2                                                                                                   ,E,E
109,194,21547, SB(s)m sp / E7                                                                                       , SB(s)d sp / E7                                                                                       ,SB,SB
110,195,21288," (R_1')SAB(_rs,bl)a                                                        ", (R_1')SAB(_rs)a                                                           ,SAB,SAB
111,196,21244, SA(s)c                                                                                               , SAB:(s)d sp                                                                                          ,SA,SAB
112,198,21443," SA(rs,nl)c                                                                                           "," SA(s,nb)c pec                                                                                        ",SA,SA
113,199,21475, (R')S_AB(rs)c                                                             , (R')S_AB(s)bc                                                             ,SAB,SAB
114,200,21636," SB_a(rs,bl)bc                                                                                      "," SB(rs,bl)bc                                                                                          ","SAB_(x,a)",SB
115,201,21684, SA(rs)cd sp                                                                                          , SA(rs)c sp                                                                                           ,SA,SA
116,203,21686, SA(s)bc                                                                                              , SAB(s)cd                                                                                             ,SA,SAB
117,204,21708," (R')SA(_rs,bl)b                                                           "," (R')SA(_rs,bl)b                                                           ",SA,SA
118,205,21849, SA(s)cd                                                                                              , SA(s)c                                                                                               ,SA,SA
119,207,21920, (R')SA(s)d:                                                                                , SB(s)cd                                                                                              ,SA,SB
120,208,21976, SAB(s)cd                                                                                             , SAB:(s)cd sp                                                                                         ,SAB,SAB
121,210,22030, SA(s)c                                                                                               , SA(rs)b pec                                                                                          ,SA,SA
122,211,22084, SA(rl)a sp                                                                                           , (R')SA(r)a                                                                                 ,SA,SA
123,212,22100, SA(s)dm (cc)                                                                                         , SA(s)dm (cc)                                                                                         ,SA,SA
124,213,22141," (RL)SAB(r,nb)0^+                                                                                   "," (RL)SAB(r,nb)0^+                                                                                   ",SAB,SAB
125,214,22190, (R_2')S_AB(r)b pec                                                        , (R_2')S_AB(r)b                                                            ,SAB,SAB
126,216,22200, SA(s)c:                                                                                              , SAcd:                                                                                                ,SA,SA
127,217,22279, (R')SA(rs)b                                                                                , SA(rs)bc                                                                                             ,SA,SA
128,219,22283, SA(s)bc                                                                                              , SAB(s)c                                                                                              ,SA,SAB
129,220,22379, Sb sp                                                                                                , Sb sp                                                                                                ,S,S
130,221,22450, (R'L:)SB(rs)b pec                                                                          , (R')SB(rs)b pec                                                                            ,SB,SB
131,222,22453, (R')SAB(rs)b                                                                               , SAB(rs)b                                                                                             ,SAB,SAB
132,223,22488, SA(_rs)bc                                                                           , SA(_rs)b                                                                            ,SA,SA
133,225,22545," S_AB(s,bl)c                                                                         "," SA(s,rl)bc                                                                                           ",SAB,SA
134,226,22543, (R_1')SB_a(r)0/a                                                                         , (R_1')SB(r)a                                                                               ,"SAB_(x,a)",SB
