"90","114","10014","-1","99","(R)","SA","(rl,nl)","0^+",,,
"91","119","10631","6.5","5",,"SA_B_a","(s)","c_d",,,
"92","123","11972","3.5","9","(RP)","SB","(r)","_bc",,"pec",
"93","124","12348","0.5","99",,"SA",,"0/_a","sp",,
"94","128","13088","0","99",,"SA","(r)","0/a",,,
"95","130","13279","6","5",,"SA_B_a","(s)","cd","sp",,
"96","132","13599","4","9:",,"SB","(rs)","bc",,"pec",
"97","135","14080","3.5","8",,"SB","(_rs)","_bc",,,
"98","143","14651","8","1",,"SB","(s:)","dm",,"pec","(cc)"
"99","144","14693","2","99","(RP)","SA","(r)","ab","sp","pec",
"100","145","14800","1","99",,"S",,"a:","sp","pec","/ E6 pec"
"101","146","14849","6.5","4",,"SB","(s)","c_d",,,
"102","149","14979","2","9",,"SB","(rs)","ab",,,
"103","156","16861","5","12",,"SA_B","(rs)","c",,"pec",
"104","158","17309","3","9",,"SA","(rs)","b",,,
"105","181","20567","4.5","8",,"SAB","(rs)","b_c",,"pec",
"106","186","20814","2","99",,"S_AB","(r_s)","ab:",,,
"107","187","20900","4","9",,"SAB","(s)","bc",,,
"108","189","21014","-5","99",,,,"E2",,,
"109","194","21547","8","99",,"SB","(s)","dm","sp",,"/ E7"
"110","195","21288","1","99","(R1P)","SAB","(_rs,bl)","a",,,
"111","196","21244","6","4",,"S_AB","(s)","cd:","sp",,
"112","198","21443","5","5",,"SA","(r_s,nl)","c",,"pec",
"113","199","21475","4.5","6","(RP)","S_AB","(r_s)","b_c",,,
"114","200","21636","4","9",,"SB_a","(rs,bl)","bc",,,
"115","201","21684","5.5","5",,"SA","(rs)","_cd","sp",,
"116","203","21686","5","5",,"S_AB","(s)","c",,,
"117","204","21708","3","8","(RP)","SA","(_rs,bl)","b",,,
"118","205","21849","5.5","5",,"SA","(s)","_cd",,,
"119","207","21920","6.5","99","(RP)","SAB","(s)","c_d:",,,
"120","208","21976","6","4",,"SAB:","(s)","cd","sp",,
"121","210","22030","4","5",,"SA","(r_s)","bc",,"pec",
"122","211","22084","1","99","(RP)","SA","(_rl)","a","sp",,
"123","212","22100","8","1",,"SA","(s)","dm",,,"(cc)"
"124","213","22141","-1","99","(RL)","SAB","(r,nb)","0^+",,,
"125","214","22190","3","8","(R2P)","S_AB","(r)","b",,"pec",
"126","216","22200","5.5","4:",,"SA","(s:)","_cd:",,,
"127","217","22279","3.5","9","(RP)","SA","(rs)","_bc",,,
"128","219","22283","4.5","9",,"S_AB","(s)","b_c",,,
"129","220","22379","3","99",,"S",,"b","sp",,
"130","221","22450","3","8","(_RPL)","SB","(rs)","b:",,"pec",
"131","222","22453","3","9","(RP)","SAB","(rs)","b",,,
"132","223","22488","3.5","12",,"SA","(_rs)","_bc",,,
"133","225","22545","4.5","9",,"SA","(s,nl)","b_c",,,
"134","226","22543","0.5","8","(R1P)","SB_a","(r)","0/_a",,,
"135","227","22681","3","7:","(RP)","SAB_x","(rs)","b",,,
"136","228","22777","-2.5","99","(L)","SB_a","(bl)","0^-o",,,
"137","229","22750","5","9",,"SA","(s)","c",,,
"138","231","22896","3","12","(R1P)","SAB","(rs)","b:","sp",,
"139","232","22922","5","9",,"SA","(r_s)","c",,,
"140","233","22978","-5","99",,,,"E(d)4",,,
"141","234","22990","5","9",,"SA","(s)","c",,"pec",
"142","236","23018","2","8","(R1P)","SAB","(p,_rs)","ab",,,
"143","237","23069","3.5","99",,"S",,"_bc","spw",,
"144","238","23093","3","8","(R1PR2P)","SB","(p,rs,bl)","b",,"pec",
"145","241","23334","7","2",,"SB","(rs)","d",,,
"146","242","23342","9.5","4:",,"S/IA_B","(rs:)","m",,"pec",
"147","243","23358","-1","99","(L)","SB","(bl)","0^+",,,
"148","244","23383","-2","99","(R_L)","SA_B_a","(s:)","0^o",,,
"149","245","23469","-2","99","(L)","SA","(l:)","0^o",,,
"150","247","23559","10","99",,"IAB:",,"m",,"pec",
"151","248","23585","3","9",,"SAB","(_rs)","b",,,
"152","249","23632","4","12",,"SA","(s)","bc:",,,
"153","250","23660","8.5","4",,"SB","(s)","d_m",,,
"154","252","23668","5","5",,"SAB","(rs)","c",,,
"155","253","23711","5","9",,"SA","(r_s)","c",,,
"156","254","23730","5","9",,"SA","(s)","c",,,
"157","255","23755","3.5","9",,"SA","(rs)","_bc",,,
"158","257","23881","-4","99",,"S",,"0^-","sp",,"/ E(d)4-5"
"159","258","23928","3","8","(RP:)","SAB","(rs)","b",,"pec",
